,pid,n_ica,block_number,alpha,theta,beta,alpha_theta_ratio,beta_theta_ratio,alpha_log,theta_log,beta_log
55,11.0,0.0,2.0,2.631043347707739,5.168418774476569,3.3621325602593606,0.5090615645738183,0.6505147332222243,0.9673804776760386,1.6425667954103267,1.2125754631976287
56,12.0,0.0,1.0,12.336355122629463,18.78903698597554,50.389320482563214,0.6565719750212601,2.681846894025206,2.51255060390901,2.933273560700349,3.919779257437128
57,12.0,0.0,6.0,5.488442468765534,9.593900601721094,25.484520610166317,0.5720762280756732,2.6563252704113416,1.7026445119486424,2.261127542563527,3.2380712329486636
58,12.0,0.0,7.0,12.885706760488388,14.359201461653404,32.69935303326118,0.8973832420208032,2.277240354944918,2.556118694015519,2.664390953553909,3.4873552927919236
59,12.0,0.0,5.0,20.9936472465787,24.244919798666675,74.85826257517991,0.8658988118299827,3.087585489942378,3.044219879889736,3.1882071025983145,4.315596493219239
60,12.0,0.0,4.0,15.900886727433925,19.26538144414943,56.125705660678,0.8253605968576737,2.9132932469251696,2.7663748766921534,2.95830977773414,4.027593919002141
61,12.0,0.0,2.0,10.979805735507513,17.31907854214338,43.06046702121152,0.633971704025119,2.4863024274894494,2.39605774334814,2.851808699764245,3.7626053377021003
62,12.0,0.0,3.0,9.830737533276249,15.2653347318465,36.59046412023311,0.643990957680567,2.396964414013024,2.285513960162077,2.7255845540071193,3.599787663297024
63,13.0,0.0,5.0,8.281903306186418,13.124242794732844,35.11390270852328,0.6310385624312129,2.675499322720207,2.1140728098785018,2.5744611149835714,3.55859714061137
64,13.0,0.0,6.0,16.500003023178742,13.738682219090274,32.75535058592359,1.2009887673398207,2.384169752497014,2.803360564129472,2.620215373831549,3.489066325406169
65,13.0,0.0,4.0,9.335365476666942,11.490378710486553,28.525419585118218,0.8124506347338347,2.4825482522246936,2.2338099274503223,2.4415100513250283,3.350795605021841
66,13.0,0.0,3.0,4.0710375220132615,7.686183641062976,13.0255614793139,0.5296565515640281,1.6946721660051964,1.4038978863816485,2.0394243847876106,2.5669136945271216
67,13.0,0.0,1.0,22.14418812565626,20.95800208770814,57.30877513508917,1.0565982402799652,2.734457936174209,3.097575074958071,3.042520534666646,4.048453755714226
68,13.0,0.0,2.0,6.278717161052173,12.11657577118172,22.6390700658665,0.5181923737881114,1.868437955854794,1.8371656858955827,2.494574413592639,3.11967717766217
69,13.0,0.0,7.0,9.170462970894285,19.22855167164648,46.65630588006405,0.4769190694906377,2.4264077022951893,2.215987772550548,2.956396240677263,3.8428080924360337
70,14.0,0.0,4.0,8.31861620900857,8.97221461969595,17.841635791791994,0.9271530565873233,1.9885431354512795,2.1184959199676165,2.1941325374257983,2.8815348153133975
71,14.0,0.0,5.0,16.564842548483963,18.817941414011727,54.1472771924348,0.8802685790141678,2.877428301063636,2.807282530634785,2.93481074528457,3.991707689494598
72,14.0,0.0,6.0,11.207876894715453,14.162834329354942,39.02357561249248,0.7913583280067871,2.755350709116841,2.41661682527662,2.6506212327378003,3.6641659663758004
73,14.0,0.0,1.0,14.458832010348331,15.472626700857013,51.38771545723121,0.9344781781329651,3.3212017875662245,2.671305439633405,2.739072443375167,3.939399145009782
74,14.0,0.0,2.0,14.667616309075159,17.581871762040468,49.766477007518546,0.8342465755405388,2.8305562502716657,2.6856420915001014,2.8668683576952136,3.907341604902296
75,14.0,0.0,3.0,4.825500018179759,10.780955724701064,19.34859063477873,0.4475948275275531,1.7947008715050845,1.573914360132489,2.377781218758924,2.9626195814112113
76,14.0,0.0,7.0,11.86496313554561,17.61807071062275,42.942851644213874,0.6734541670554015,2.4374321314490834,2.4735897828913798,2.868925120223808,3.7598702002179674
77,18.0,0.0,4.0,33.11304760767,33.46584356426799,124.7995479597865,0.9894580288729169,3.7291618757531317,3.4999273922544187,3.5105253235938774,4.826708833811672
78,18.0,0.0,7.0,16.817256761048277,19.107730741932244,51.93120880353834,0.8801284144193281,2.7178114191014013,2.8224055473700824,2.950093004049545,3.9499199351423737
79,18.0,0.0,5.0,15.591228210639127,15.490983680716228,47.51336627339751,1.0064711532843253,3.0671626316761262,2.746708461919028,2.7402581566549618,3.861011066685805
80,18.0,0.0,1.0,5.908198722940897,12.279257947901206,22.19871024343868,0.48115274945834474,1.8078218030457553,1.7763410003493678,2.507911493197828,3.1000341900481274
81,18.0,0.0,6.0,10.490074201171101,13.452161205356516,28.74546421764479,0.7798058647255921,2.1368658744736595,2.3504294958980694,2.5991397775526144,3.358479988454151
82,18.0,0.0,2.0,6.4943502724345405,10.040186445163108,17.507567714790973,0.6468356248068694,1.7437492630652591,1.8709326100817025,2.3065956843265276,2.862633228299072
