,pid,n_ica,interval,block_number,workload,alpha,theta,beta,alpha_theta_ratio,beta_theta_ratio
71,9,0,2.0,7,low,8.406783991711983,10.123682697362051,21.523958982122014,0.8304076928351928,2.126099723347765
72,9,0,3.0,6,high,24.752233515712486,31.543790305565757,92.60358619865393,0.7846943336845943,2.9357152485988487
73,9,0,4.0,6,low,22.565700784562285,26.278214285537903,79.41499618822289,0.8587227632503636,3.0220849607702824
74,9,0,5.0,6,high,17.804481153512594,20.048890499793707,69.09143083187102,0.8880531894618204,3.4461473482825364
75,11,0,0.0,6,low,-232.0119799227274,-198.655871075031,-765.0028406366459,1.1679090009632689,3.8508946979357557
76,11,0,1.0,6,high,13.912133556260505,16.243581322277283,46.33321734424399,0.856469597451437,2.85240159943671
77,11,0,2.0,6,low,13.556530928316587,17.192699681963486,47.02193302823576,0.7885050736120558,2.7349941485667615
78,11,0,3.0,6,high,19.948013972215687,25.345783298553183,65.42168945961319,0.7870348190562484,2.581166606255474
79,11,0,4.0,6,low,13.013944486863705,15.971823844849391,44.46792562859629,0.8148064124223643,2.7841482638776003
80,11,0,5.0,6,high,14.206810573500864,20.463411529518538,50.87132552637668,0.6942542573122518,2.4859650333960506
81,11,0,6.0,6,low,12.256627647206711,16.054285079121875,45.31637941282792,0.7634489849159396,2.822696818294359
82,11,0,7.0,6,high,12.607984342512903,15.3057514556884,43.61471014917637,0.823741609748088,2.8495634647828356
83,11,0,8.0,6,low,21.302170780252972,25.13087302354396,67.6480337227881,0.8476494533355824,2.6918298325494607
84,11,0,9.0,6,high,13.318256276233527,15.215914454288988,43.60168833533605,0.8752846446556777,2.8655319051853514
85,11,0,10.0,6,low,13.328868743049656,15.884778771198459,42.356487409087165,0.8390969074883775,2.6664826762262486
86,11,0,11.0,6,high,18.54502691624415,28.454379845325427,78.5044117328641,0.6517459532434964,2.7589570449120524
88,11,0,13.0,7,high,4.51322188305676,7.353979070433893,11.439291492132746,0.6137115485141671,1.555524075139612
89,11,0,14.0,7,low,17.79722789060092,22.80383238651224,66.11782834502804,0.780448987211791,2.8994173972325235
90,11,0,15.0,7,high,14.847786770047058,20.17280811689448,53.189851948712004,0.7360297428106808,2.63671034991733
91,11,0,16.0,7,low,19.745026975430275,18.511256230272036,46.142566371275166,1.0666497578452085,2.4926761208035564
92,11,0,17.0,7,high,14.886104331478403,17.934123017980802,43.71626414506887,0.8300436166604608,2.4376025580530936
93,11,0,18.0,7,low,17.96542292426638,22.641853136070722,61.838806695932234,0.7934608009467952,2.731172502723148
94,11,0,19.0,7,high,12.665828176565318,18.84855549074252,47.76080395649807,0.6719787191536322,2.533923831985736
95,11,0,20.0,7,low,14.031616742612767,19.426681293358754,48.57045300505513,0.7222858362024833,2.5001930217313815
96,11,0,21.0,7,high,17.76979729344072,21.365982257458853,64.08603963699505,0.8316864199977183,2.9994427059220574
97,11,0,22.0,7,low,16.604483613666286,23.254503741855146,62.14657390466786,0.7140330233657203,2.6724532415117483
98,12,0,0.0,6,high,4.208483309626537,9.434621756132069,27.83252410872232,0.4460680479205451,2.9500413294928824
99,12,0,1.0,6,low,3.736171368639087,8.61390293209297,21.260478813919683,0.4337373427693465,2.46815862467049
100,12,0,2.0,6,high,3.2490813296078946,8.154646435542906,20.31052903282687,0.3984331332191698,2.4906694843692105
101,12,0,3.0,6,low,3.504237250509932,7.905788317637773,19.460714617142866,0.44324956724328135,2.4615780027560454
102,12,0,4.0,6,high,4.483769383039614,8.000847952801333,19.406824398850983,0.5604117725383987,2.425595950996179
103,12,0,5.0,7,low,21.284579717556056,17.391717191952367,45.05965688077969,1.223834281723775,2.5908687672100634
104,12,0,6.0,7,high,9.055308234500192,10.846114216121132,27.227576661153048,0.8348896253591749,2.5103531198927738
105,12,0,7.0,7,low,8.006909175401068,14.110444359845795,30.800524569694502,0.5674455723156667,2.1828174779062097
106,13,0,0.0,6,high,5.099479978930723,8.487839480016222,19.95128974414287,0.6007983528596346,2.3505734045885536
107,13,0,1.0,6,low,20.242081671525284,11.570612014700062,20.56429411031289,1.7494391520352095,1.777286636539767
108,13,0,2.0,6,high,16.67308384064553,6.518933537273308,9.89690711892023,2.5576397957294446,1.518178865044824
109,13,0,3.0,6,low,15.100702938705338,7.182909328117643,11.13327955236857,2.102310115428206,1.5499679926053256
110,13,0,4.0,6,high,14.384908290930596,15.103704830836167,35.03779780007383,0.9524092566720416,2.319814786670065
111,13,0,5.0,6,low,20.822766383193592,18.168172652293986,65.1965968747541,1.146112313092997,3.588506016675382
112,13,0,6.0,6,high,18.883548969695486,20.227865854990128,45.42973012838812,0.9335413387189828,2.2458983292684236
113,13,0,7.0,7,low,7.016220679865259,19.09003945441071,46.0079840516416,0.36753306333498315,2.4100518053676185
114,13,0,8.0,7,high,4.533364817548821,22.63387138879738,52.79820700208433,0.20029118040286326,2.3327077412049255
115,13,0,9.0,7,low,6.122354559524958,18.982640507871512,43.73350497078617,0.3225238636840964,2.303868366081697
116,13,0,10.0,7,high,5.2138040214079675,19.327224776819744,53.10230369257585,0.26976475317145293,2.7475389925751013
117,13,0,11.0,7,low,5.336588403368503,16.057472606395795,35.561141728285264,0.3323429866069275,2.214616372075954
118,13,0,12.0,7,high,4.791734887529958,6.477340108950726,4.4281548476780115,0.7397689185578644,0.6836378472019644
119,13,0,13.0,7,low,13.44123867011756,4.4845791377838715,1.5867582995793488,2.9972129506805336,0.3538254651836675
120,14,0,0.0,6,high,13.247591717079219,14.635290071677007,41.26129555155918,0.9051813563105705,2.8193015204673144
121,14,0,1.0,6,low,6.2885725709510885,11.372971177995277,33.47589988445234,0.5529401659891994,2.943461243375204
122,14,0,2.0,6,high,17.983644406207098,20.87857084927168,54.48800551020977,0.8613446071589921,2.609757435198708
123,14,0,3.0,7,low,10.731748430427016,16.781576997132927,36.96747028891458,0.6394958252290889,2.2028603328060496
124,18,0,0.0,7,low,17.374312426076813,20.47053993122561,54.08481249634644,0.8487471500238333,2.6420804081403766
125,18,0,1.0,7,high,0.16774188881909877,-4.7928437901446275,-19.983340771623364,-0.034998405156458696,4.1694120748759795
126,18,1,2.0,7,low,0.1678724632593032,-8.890165804356108,-32.94699890792633,-0.018882939525947544,3.7060049984425003
127,18,2,3.0,7,high,-8.919143240764523,-7.9238917558010336,-38.346910954006766,1.1256013478774332,4.839403683919991
128,18,0,4.0,7,low,18.011133687731565,22.174076484407315,56.88410229640423,0.8122608263030432,2.5653425673175074
129,18,0,5.0,6,high,15.83041788271995,16.438342137776385,44.517290532050566,0.9630179095944605,2.708137484846901
130,18,0,6.0,6,low,9.116564894621845,12.611502148920449,27.357969598987733,0.7228770044179256,2.1692871535790514
131,18,0,7.0,6,high,13.145617535995159,14.703548987023439,31.618033300208754,0.8940438493860751,2.1503674608159655
132,18,0,8.0,6,low,3.6602367651834244,6.370339790972514,6.1276204029537915,0.5745748084537642,0.9618985178211871
133,18,0,9.0,6,high,4.240715304361522,8.941152421683798,16.482742811762588,0.4742918031547113,1.8434696149222516
