pid,workload,block_number,interval,ecg_rate_mean,ecg_rate_var,hrv_rmssd,ecg_rate_mean_norm,hrv_rmssd_norm
11,high,7.0,21.0,111.22610100302732,288.4392116385112,122.48790679483267,0.9143413506411935,0.17673953456252098
11,low,7.0,22.0,104.42519623400815,479.5925382094533,181.83503317551555,0.7440032763557143,0.31853871463501077
12,high,6.0,0.0,105.84640623815403,59.285092617713254,48.51721465978025,0.7795994482598212,0.0
12,low,6.0,1.0,105.18097744392658,286.45657681191443,105.33952201011675,0.7629328629697055,0.13576658354813528
12,high,6.0,2.0,106.03085775572308,96.04598041046353,75.58940002705211,0.7842192918495847,0.0646840701810141
12,low,6.0,3.0,106.95526628568383,142.95708338341163,83.81237347546524,0.8073723831211884,0.08433137180878701
12,high,6.0,4.0,111.00314191920907,218.9241780997656,95.38607501437568,0.9087570317495274,0.11198462966147717
12,low,7.0,5.0,101.76463925938313,314.67618243381634,151.53309244686085,0.6773659439747484,0.24613773059466135
12,high,7.0,6.0,107.85395844333594,101.54231059569119,79.36677850243616,0.829881372249704,0.07370943001389178
12,low,7.0,7.0,107.24615894070358,103.34106401686583,86.68302942831812,0.8146581923425694,0.09119028284979819
13,high,6.0,0.0,102.05795135594968,661.546384697934,276.534627839765,0.6847123514588497,0.5448061970814487
13,low,6.0,1.0,105.25453338887327,834.4721696729753,250.94127533875138,0.7647751734327992,0.4836555294539898
13,high,6.0,2.0,102.18292002750138,528.8989164433382,235.28487915498172,0.6878423648292914,0.4462474142318986
13,low,6.0,3.0,100.6719949457916,731.4766775297752,180.13253941313337,0.6499991546169548,0.3144709149906644
13,high,6.0,4.0,102.98857009271624,567.4776708216655,203.5615317149117,0.7080209859565598,0.370450237005457
13,low,6.0,5.0,101.8764760806619,275.2667405247136,139.20075112019344,0.6801670519769683,0.2166718407505877
13,high,6.0,6.0,99.99560790195035,728.4798298941208,264.3654073312249,0.6330581047959937,0.5157300548068671
13,low,7.0,7.0,107.26025287551217,818.9865750268689,249.29162686146984,0.8150111944497797,0.4797139940208186
13,high,7.0,8.0,97.99461591215588,792.437172617925,337.82367143732506,0.5829404904816535,0.6912452356595639
13,low,7.0,9.0,105.56145744411191,841.8964332326167,240.23456855538942,0.772462511264583,0.45807379810917687
13,high,7.0,10.0,93.08360479972428,623.2497959344603,312.7534679062899,0.45993741896432777,0.6313445374834122
13,low,7.0,11.0,103.59114426645623,821.8428213862185,263.19627213342096,0.723113290268275,0.5129366185858937
13,high,7.0,12.0,99.22881205299778,752.5949925745126,339.36069376604706,0.6138526413000658,0.694917671365513
13,low,7.0,13.0,90.64305013186546,744.2804343628861,352.46851851158124,0.39881034890075684,0.7262364379984265
14,high,6.0,0.0,109.81059063101469,1079.54371550599,369.410406961879,0.8788879339137412,0.7667160035248505
14,low,6.0,1.0,91.58588507836744,1116.3827018495265,408.0549910730722,0.4224249552819253,0.8590502187665371
14,high,6.0,2.0,91.5183476999777,1202.452617631568,415.54697505576354,0.4207333881496218,0.8769509538256764
14,low,7.0,3.0,94.05371802098325,1086.209819937265,408.794112747713,0.484235247497511,0.8608162157714399
18,low,7.0,0.0,101.06381136929357,94.99113509113836,94.32622062521054,0.6598127393265634,0.10945230008555412
18,high,7.0,1.0,102.99609886510295,92.36932092969033,91.40376268817394,0.7082095544829017,0.10246961761142821
18,low,7.0,2.0,99.2579825449172,149.29477619919737,147.81111674275928,0.6145832566502687,0.23724474562170877
18,high,7.0,3.0,106.7700920474632,81.1556966530608,64.76118526623827,0.8027344379922592,0.03881201759192689
18,low,7.0,4.0,104.97963245320271,277.19424845788683,137.52895932104315,0.7578898989595099,0.21267739787140247
18,high,6.0,5.0,103.25643603472498,112.83807824411124,99.37044072494147,0.7147300592751993,0.12150454790053568
18,low,6.0,6.0,110.13878703533491,540.6667301944568,165.3245482536794,0.8871080671751261,0.2790899094898705
18,high,6.0,7.0,99.94031644939709,508.50427725544364,208.25688932821103,0.6316732538280352,0.38166894126827505
18,low,6.0,8.0,103.31897676930228,289.7151538388924,163.0380589487495,0.716296478546474,0.27362675855980106
18,high,6.0,9.0,99.39373355100928,426.0371200761016,217.50989735989776,0.6179833285150267,0.40377732346156037
18,low,6.0,10.0,108.3287929136098,150.96722551750673,97.80038202014224,0.8417742588608013,0.1177531777738993
18,high,6.0,11.0,102.6209659181876,216.76706975222714,139.20396490130977,0.6988138305389808,0.21667951949688968
18,low,6.0,12.0,100.7715945974526,477.8350992418648,198.13985123891362,0.6524937657664486,0.357496116174397
18,high,6.0,13.0,107.91131224166669,240.07480284641676,133.15390473188145,0.8313178775225204,0.20222399951246456
19,high,6.0,0.0,100.56454271932685,305.49732222531634,168.5007564700125,0.647307864861352,0.2866788821711516
19,low,6.0,1.0,94.2318960726178,484.713309832993,253.785862143086,0.4886979634487218,0.49045215299920275
19,high,6.0,2.0,99.92463005650964,563.1602627188558,236.6496440266546,0.6312803664038347,0.44950827202901583
19,low,6.0,3.0,100.0987777267721,617.4510221395243,248.63334537813915,0.6356421358744117,0.47814114997114315
19,high,6.0,4.0,98.12795627063974,535.9959772117861,269.34418029621287,0.5862801843400565,0.5276259285796563
19,low,6.0,5.0,102.05739572847853,603.4434756836004,250.6284015444967,0.6846984349996914,0.48290797434564475
19,high,6.0,6.0,101.81602675638709,369.6794329819996,180.52752966614312,0.6786530149718133,0.31541467246350535
19,low,6.0,7.0,114.5605886916949,201.68293961286122,67.45100737418412,0.9978582106630681,0.04523885900293284
19,high,6.0,8.0,94.59639613242291,388.26443580786594,235.63998931562128,0.4978273720160908,0.44709588546690165
19,low,6.0,9.0,103.65047655415853,401.3301186944456,179.2789334726471,0.7245993495461819,0.31243137862474935
19,low,7.0,11.0,99.6774151204205,835.3421760188378,276.2777380828172,0.6250885261151925,0.5441924056626266
19,high,7.0,12.0,102.03407042506998,811.1293478014433,292.93791709876297,0.6841142204871115,0.5839988776587325
19,low,7.0,13.0,91.28555187416382,858.8397735172429,309.2552895269094,0.41490269443788597,0.6229862755726059
19,high,7.0,14.0,109.67047394502735,557.3480330264265,184.23954417148704,0.8753785175526901,0.32428385696114403
19,low,7.0,15.0,108.7916664658229,262.10165961649994,118.20181621398521,0.8533675677218264,0.16649869954412294
19,high,7.0,16.0,108.90572783922129,611.5250452244535,191.0820672430008,0.8562243927112815,0.3406328231258068
19,low,7.0,17.0,89.98147117484558,616.7620545140762,361.6930020679204,0.38224018811275107,0.7482766661383827
19,high,7.0,18.0,90.1621734001165,545.7096989655605,269.4545264724849,0.3867661254868438,0.527889580727178
19,low,7.0,19.0,90.39297162702815,250.5227185901892,237.13905869343856,0.3925467865688402,0.45067763948954387
20,high,6.0,0.0,99.16392352256801,178.154045274301,136.32250888969247,0.6122274182316628,0.2097948036769292
20,low,6.0,1.0,102.63678624672166,108.79036777600221,101.91812892066662,0.6992100725668551,0.12759178614214622
20,high,6.0,2.0,101.18252299524099,161.24563554707055,129.66987905400583,0.6627860363283529,0.19389955291154087
20,low,6.0,3.0,102.77974957712075,74.00592205164406,68.8826718791243,0.702790787077747,0.048659561323668686
