pid,workload,block_number,interval,tonic_avg,amplitude_avg,peaks_num,tonic_avg_norm,amplitude_avg_norm
3,low,6.0,1.0,149062.803331925,0.7601169357079623,5,0.3222646898665713,0.05801867280778698
3,high,6.0,2.0,153913.01802432016,1.8212901702431774,3,0.3350386903497938,0.13901655588946862
3,low,6.0,3.0,150671.97450433968,0.3433564371799492,6,0.3265027606815071,0.026207921241271536
3,high,6.0,4.0,150096.2402461752,0.7907242218279866,5,0.32498645054712644,0.06035488456088792
3,low,6.0,5.0,149677.648158982,0.8363133802043002,2,0.32388400542599327,0.06383464187079996
3,high,6.0,6.0,152844.40790588091,2.2490565839715546,3,0.3322242940735377,0.17166737371811178
3,low,6.0,7.0,161045.01175764613,2.026861288717903,2,0.3538222076111412,0.15470751461071763
3,high,6.0,8.0,168379.224376399,5.454487299084518,1,0.3731383083361054,0.41633346012093
3,low,6.0,9.0,157805.82945296585,1.9552686643072772,2,0.34529117982177165,0.14924294875775163
3,high,7.0,10.0,151488.62812372364,1.1397531079996355,3,0.3286535796431899,0.08699577597636267
3,low,7.0,11.0,152585.3116149573,2.407627778883167,3,0.3315419127037709,0.18377089337689667
3,high,7.0,12.0,148366.78328722835,0.581148517559067,3,0.3204315833030148,0.0443582613530193
3,low,7.0,13.0,143903.82589595258,3.1974908289179225,2,0.30867750157913854,0.2440600458876807
3,high,7.0,14.0,146132.789421239,1.1120526910365924,2,0.3145479182420829,0.08488144151949228
3,low,7.0,15.0,151720.78244892225,3.1268727141698442,3,0.3292650040131088,0.23866986300739076
3,high,7.0,16.0,147734.9294039646,0.20953658842103706,6,0.31876747102716185,0.015993637549382034
5,low,6.0,0.0,146920.3528277679,0.6995416456630539,5,0.3166221223698594,0.05339504482602259
5,high,6.0,1.0,145048.94363493563,1.2749766951413515,2,0.3116933958186351,0.09731720507458859
5,low,6.0,2.0,137688.46112404153,0.8501646242077273,4,0.29230810813264174,0.06489188813918782
5,high,6.0,3.0,137040.33217354995,0.2827951286418875,2,0.2906011322456256,0.021585360448557928
5,low,6.0,4.0,128861.58292461325,0.5325208199564654,14,0.26906077713064813,0.04064657655287257
5,high,6.0,5.0,123639.61550491228,0.34902589907616505,13,0.2553076922523185,0.026640663414614116
5,low,6.0,6.0,120837.7758269388,0.30604103956000706,7,0.24792849284152482,0.02335968862928868
5,high,6.0,7.0,116599.38829335806,0.12996057847836448,2,0.23676586029106586,0.009919710937139125
5,low,7.0,8.0,98927.18198946655,0.40911583910298066,16,0.19022260681004538,0.031227245301792078
5,high,7.0,9.0,99833.91938679633,0.3048843912198824,6,0.19261067923286151,0.023271403263647066
6,high,6.0,0.0,252813.85753578797,3.0664387064520047,3,0.5955136284368582,0.23405701890995081
6,low,6.0,1.0,248890.6568703187,0.345374047359021,5,0.5851811028942135,0.02636192263149737
6,high,6.0,2.0,244369.78150202346,1.079280562406671,5,0.5732744827131028,0.08237999033629613
6,low,6.0,3.0,259298.66183193357,1.8452186364172976,3,0.6125926442054694,0.14084298256743158
6,high,6.0,4.0,261566.8463398156,3.7194563483650698,4,0.6185663570897985,0.283900950973613
6,low,6.0,5.0,261772.49464669297,3.0269497505707705,4,0.6191079726136522,0.2310428816066416
6,high,6.0,6.0,267526.5609762776,6.394944684614894,3,0.6342624452991307,0.48811726966062063
6,low,6.0,7.0,259197.08181963232,3.530789846383648,4,0.6123251131355033,0.2695002982134496
6,high,6.0,8.0,256543.67357124374,2.7209555182360896,93,0.6053368372762414,0.20768676570802588
6,low,7.0,9.0,276382.23712789523,10.882117845969207,5,0.657585621408715,0.8306169815477424
6,high,7.0,10.0,268570.51778901747,6.800332670972307,6,0.6370119122147524,0.5190599731260711
6,low,7.0,11.0,267044.4653679804,10.55311181260415,5,0.6329927510847687,0.8055044067518444
6,high,7.0,12.0,245728.82039274139,0.1407230621322721,5,0.5768537806509794,0.010741196406521072
6,low,7.0,13.0,217983.59732966838,1.955263626920798,5,0.5037812436000906,0.1492425642610193
7,high,6.0,0.0,73305.4561888974,0.8606607174460779,6,0.1227427201422164,0.06569304039714757
7,low,6.0,1.0,76559.21762670457,0.6101725009329746,4,0.1313121449645874,0.04657362180066016
7,high,6.0,2.0,85822.00808772702,0.8368763440968903,5,0.1557075371954947,0.06387761212491798
7,low,7.0,3.0,102684.95276378581,1.06446165430067,21,0.20011943998781326,0.08124888360734271
9,low,7.0,0.0,33322.14062442208,0.7811751761887575,37,0.017438743981683807,0.059626019134342664
9,high,7.0,1.0,27409.25811947553,0.7574939797838878,29,0.001865997461029115,0.05781846621535474
9,low,7.0,2.0,26700.749589720697,0.9447056005054549,30,0.0,0.07210806990421824
9,high,6.0,3.0,58665.030936808216,1.9015199610105304,1,0.08418426219642675,0.14514038468645868
9,low,6.0,4.0,55851.65926023611,0.7225000485004227,25,0.07677469098458635,0.05514742791319858
9,high,6.0,5.0,49496.82360314152,0.6342482189257546,27,0.060037973353961493,0.048411288005971914
